SERCODIGO;DIA;MES;ANO;VALVALOR
PAN4_TCERXTINPC4;1;7;2015;149,7485001
PAN4_TCERXTINPC4;1;10;2015;157,1267893
PAN4_TCERXTINPC4;1;1;2016;154,0697211
PAN4_TCERXTINPC4;1;4;2016;137,9779302
PAN4_TCERXTINPC4;1;7;2016;125,6273902
PAN4_TCERXTINPC4;1;10;2016;123,9809995
PAN4_TCERXTINPC4;1;1;2017;117,3742817
PAN4_TCERXTINPC4;1;4;2017;121,5393566
PAN4_TCERXTINPC4;1;7;2017;123,3435779
PAN4_TCERXTINPC4;1;10;2017;126,7665621
PAN4_TCERXTINPC4;1;1;2018;130,545584
PAN4_TCERXTINPC4;1;4;2018;142,0127799
PAN4_TCERXTINPC4;1;7;2018;150,168692
PAN4_TCERXTINPC4;1;10;2018;142,3902364
PAN4_TCERXTINPC4;1;1;2019;141,9175745
PAN4_TCERXTINPC4;1;4;2019;145,3184481
PAN4_TCERXTINPC4;1;7;2019;145,9518209
PAN4_TCERXTINPC4;1;10;2019;150,5148794
PAN4_TCERXTINPC4;1;1;2020;160,716055
PAN4_TCERXTINPC4;1;4;2020;189,8691935
PAN4_TCERXTINPC4;1;7;2020;193,357688
PAN4_TCERXTINPC4;1;10;2020;194,4147975
PAN4_TCERXTINPC4;1;1;2021;197,2166153
PAN4_TCERXTINPC4;1;4;2021;188,0939272
PAN4_TCERXTINPC4;1;7;2021;179,9760848
PAN4_TCERXTINPC4;1;10;2021;188,0118981
PAN4_TCERXTINPC4;1;1;2022;174,3407918
PAN4_TCERXTINPC4;1;4;2022;156,1024818
PAN4_TCERXTINPC4;1;7;2022;162,6357881
